id,category,question,expected_document,source_hit,citation_count,answer_precision,answer_recall,answer_f1,faithfulness_proxy,latency_seconds,success,error
1,education,What is Artificial Intelligence in Education?,Artificial Intelligence in Education.docx,True,4,0.3611,1.0,0.5306,1.0,205.268,True,
2,education,How does AI support personalized learning?,Artificial Intelligence in Education.docx,True,4,0.1481,0.6667,0.2424,1.0,6.06,True,
3,education,What can an Intelligent Tutoring System provide to students?,Artificial Intelligence in Education.docx,True,4,0.4333,1.0,0.6047,1.0,5.639,True,
4,education,How can AI help teachers save time?,Artificial Intelligence in Education.docx,True,4,0.4,0.8,0.5333,1.0,4.219,True,
5,education,What are the main challenges of Artificial Intelligence in education?,Artificial Intelligence in Education.docx,True,4,0.6,1.0,0.75,1.0,4.585,True,
6,education,Why is academic dishonesty a concern when using AI in education?,Artificial Intelligence in Education.docx,True,4,0.4839,0.9375,0.6383,1.0,4.149,True,
7,education,Why should AI not completely replace teachers?,Artificial Intelligence in Education.docx,True,4,0.2881,0.8947,0.4359,1.0,23.173,True,
8,education,"What is the recommended future relationship between students, teachers, and AI?",Artificial Intelligence in Education.docx,True,4,0.1692,0.7857,0.2785,1.0,15.592,True,
9,healthcare,How is AI used in medical imaging?,ai_healthcare_rag_test.txt.docx,True,4,0.1584,0.8889,0.2689,1.0,8.538,True,
10,healthcare,What is predictive analytics in healthcare?,ai_healthcare_rag_test.txt.docx,True,4,0.2647,0.8571,0.4045,1.0,5.627,True,
11,healthcare,How can Natural Language Processing help in healthcare?,ai_healthcare_rag_test.txt.docx,True,4,0.3636,0.8,0.5,1.0,4.671,True,
12,healthcare,How can AI assist with drug discovery?,ai_healthcare_rag_test.txt.docx,True,4,0.4359,0.8947,0.5862,1.0,5.168,True,
13,healthcare,What are the main challenges of Artificial Intelligence in healthcare?,ai_healthcare_rag_test.txt.docx,True,4,0.6667,0.875,0.7568,1.0,3.758,True,
14,healthcare,Why is human oversight important in healthcare AI?,ai_healthcare_rag_test.txt.docx,True,4,0.4167,1.0,0.5882,1.0,22.508,True,
15,healthcare,What should be the future focus of AI in healthcare?,ai_healthcare_rag_test.txt.docx,True,4,0.25,0.3158,0.2791,1.0,5.95,True,
