id,question,expected_document,category,status,relevant_chunk_id,relevant_filename,relevant_chunk_index,answer_overlap_f1,before_rank,after_rank,before_rr,after_rr,before_top4,after_top4,rank_change,rank_status,retrieval_ms,reranking_ms,total_latency_ms,error
1,What is Artificial Intelligence in Education?,Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_0,Artificial Intelligence in Education.docx,0,0.6667,1,1,1.0,1.0,True,True,0,unchanged,64.06,189.89,256.11,
2,How does AI support personalized learning?,Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_4,Artificial Intelligence in Education.docx,4,0.459,2,1,0.5,1.0,True,True,1,improved,45.69,214.43,263.01,
3,What can an Intelligent Tutoring System provide to students?,Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_7,Artificial Intelligence in Education.docx,7,0.4727,2,2,0.5,0.5,True,True,0,unchanged,48.14,209.56,260.17,
4,How can AI help teachers save time?,Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_32,Artificial Intelligence in Education.docx,32,0.4062,1,1,1.0,1.0,True,True,0,unchanged,46.91,266.16,315.59,
5,What are the main challenges of Artificial Intelligence in education?,Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_53,Artificial Intelligence in Education.docx,53,0.6897,8,6,0.125,0.1667,False,False,2,improved,43.91,155.11,201.36,
6,Why is academic dishonesty a concern when using AI in education?,Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_34,Artificial Intelligence in Education.docx,34,0.3509,1,1,1.0,1.0,True,True,0,unchanged,48.41,205.45,255.97,
7,Why should AI not completely replace teachers?,Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_39,Artificial Intelligence in Education.docx,39,0.2,6,8,0.1667,0.125,False,False,-2,worsened,50.64,223.59,278.56,
8,"What is the recommended future relationship between students, teachers, and AI?",Artificial Intelligence in Education.docx,education,success,d30f6372-0f43-4a78-bfee-7133b9212ecc_chunk_42,Artificial Intelligence in Education.docx,42,0.3673,3,1,0.3333,1.0,True,True,2,improved,79.11,363.66,455.85,
9,How is AI used in medical imaging?,ai_healthcare_rag_test.txt.docx,healthcare,success,3dcbeb57-8e95-46a2-99af-0f672be616d9_chunk_4,ai_healthcare_rag_test.txt.docx,4,0.4062,2,5,0.5,0.2,True,False,-3,worsened,83.14,223.22,308.83,
10,What is predictive analytics in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,3dcbeb57-8e95-46a2-99af-0f672be616d9_chunk_10,ai_healthcare_rag_test.txt.docx,10,0.3793,8,5,0.125,0.2,False,False,3,improved,51.96,152.42,207.24,
11,How can Natural Language Processing help in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,3dcbeb57-8e95-46a2-99af-0f672be616d9_chunk_13,ai_healthcare_rag_test.txt.docx,13,0.4262,1,1,1.0,1.0,True,True,0,unchanged,48.35,206.26,259.11,
12,How can AI assist with drug discovery?,ai_healthcare_rag_test.txt.docx,healthcare,success,3dcbeb57-8e95-46a2-99af-0f672be616d9_chunk_18,ai_healthcare_rag_test.txt.docx,18,0.5763,1,3,1.0,0.3333,True,True,-2,worsened,59.77,256.06,318.99,
13,What are the main challenges of Artificial Intelligence in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,3dcbeb57-8e95-46a2-99af-0f672be616d9_chunk_43,ai_healthcare_rag_test.txt.docx,43,0.5,7,8,0.1429,0.125,False,False,-1,worsened,63.85,205.1,271.14,
14,Why is human oversight important in healthcare AI?,ai_healthcare_rag_test.txt.docx,healthcare,success,3dcbeb57-8e95-46a2-99af-0f672be616d9_chunk_36,ai_healthcare_rag_test.txt.docx,36,0.7692,1,1,1.0,1.0,True,True,0,unchanged,44.18,163.29,209.59,
15,What should be the future focus of AI in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,3dcbeb57-8e95-46a2-99af-0f672be616d9_chunk_44,ai_healthcare_rag_test.txt.docx,44,0.2791,1,1,1.0,1.0,True,True,0,unchanged,45.54,190.46,237.88,
