id,question,expected_document,category,status,before_rank,after_rank,before_hit,after_hit,before_reciprocal_rank,after_reciprocal_rank,rank_change,rank_status,latency_seconds,error
1,What is Artificial Intelligence in Education?,Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.4547,
2,How does AI support personalized learning?,Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.2254,
3,What can an Intelligent Tutoring System provide to students?,Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.2746,
4,How can AI help teachers save time?,Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.3185,
5,What are the main challenges of Artificial Intelligence in education?,Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.2299,
6,Why is academic dishonesty a concern when using AI in education?,Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.2831,
7,Why should AI not completely replace teachers?,Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.3402,
8,"What is the recommended future relationship between students, teachers, and AI?",Artificial Intelligence in Education.docx,education,success,1,1,True,True,1.0,1.0,0,unchanged,0.3039,
9,How is AI used in medical imaging?,ai_healthcare_rag_test.txt.docx,healthcare,success,1,1,True,True,1.0,1.0,0,unchanged,0.307,
10,What is predictive analytics in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,1,1,True,True,1.0,1.0,0,unchanged,0.2728,
11,How can Natural Language Processing help in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,1,1,True,True,1.0,1.0,0,unchanged,0.2423,
12,How can AI assist with drug discovery?,ai_healthcare_rag_test.txt.docx,healthcare,success,1,1,True,True,1.0,1.0,0,unchanged,0.2664,
13,What are the main challenges of Artificial Intelligence in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,1,1,True,True,1.0,1.0,0,unchanged,0.242,
14,Why is human oversight important in healthcare AI?,ai_healthcare_rag_test.txt.docx,healthcare,success,1,1,True,True,1.0,1.0,0,unchanged,0.3133,
15,What should be the future focus of AI in healthcare?,ai_healthcare_rag_test.txt.docx,healthcare,success,1,1,True,True,1.0,1.0,0,unchanged,0.2437,
